CPTCode,Total,TC27,PC26
77056,178.14,99.84,78.30
77057,149.41,86.14,63.27
77058,1440.31,1292.91,147.39
77059,1777.15,1629.76,147.39
77061,BR,,
77063,104.80,46.80,58.00
77071,52.90,,
77072,40.75,24.23,16.52
77073,76.11,51.65,24.46
77074,115.64,74.72,40.92
77075,161.60,111.96,49.67
77076,132.73,69.46,63.27
77077,97.83,69.25,28.58
77078,257.84,235.55,22.29
77080,199.18,179.16,20.01
77081,72.46,51.66,20.80
77084,976.10,830.94,145.16
77085,104.21,74.83,29.38
77086,65.78,48.76,17.01
77261,132.30,,
77262,200.82,,
77263,298.53,,
77280,277.50,194.25,83.25
77285,436.94,305.86,131.08
77290,542.78,379.95,162.83
77293,845.31,647.56,197.74
77295,2124.97,1487.48,637.49
77299,BR,BR,BR
77300,140.45,70.22,70.23
77301,2573.25,1804.36,768.89
77306,271.34,133.50,137.85
77307,531.73,244.71,287.02
77316,346.06,208.21,137.85
77317,452.64,271.32,181.32
77318,655.35,368.32,287.02
77321,335.16,217.85,117.31
77331,113.31,22.66,90.65
77332,132.99,66.49,66.50
77333,195.39,97.69,97.70
77334,313.46,172.40,141.06
77336,180.48,,
77338,877.59,457.09,420.50
77370,211.68,,
77371,2077.76,,
77372,1576.45,,
77373,2942.06,,
77385,BR,,
77386,BR,,
77387,BR,,
77399,BR,BR,BR
77401,107.19,,
77402,107.19,,
77407,126.20,,
77412,141.12,,
77417,35.97,,
77422,123.03,,
77423,160.62,,
,,,
,,,
77427,305.94,,
77431,172.32,,
77432,837.92,,
77435,1216.77,,
77469,BR,BR,BR
77470,872.51,610.76,261.75
77499,BR,BR,BR
77520,BR,BR,BR
77522,BR,BR,BR
77523,BR,BR,BR
77525,BR,BR,BR
77600,333.12,166.56,166.56
77605,444.39,222.19,222.20
77610,333.12,166.56,166.56
77615,444.39,222.19,222.20
77620,333.12,166.56,166.56
77750,517.68,77.65,440.03
77761,490.53,122.63,367.90
77762,728.00,182.00,546.00
77763,1033.31,206.66,826.65
77776,576.02,115.20,460.82
77777,922.04,230.51,691.53
77778,1306.73,261.35,1045.38
77785,340.82,205.27,135.55
77786,1019.34,713.97,305.37
77787,1515.02,1046.33,468.69
77789,126.87,25.37,101.50
77790,129.60,25.92,103.68
77799,BR,BR,BR
7801,,,
7801,,,
7801,,397.02,
78015,220.50,154.35,66.15
78016,289.71,202.80,86.91
78018,419.30,293.51,125.79
78020,53.02,53.02,
78070,158.76,111.13,47.63
7807,,,1
7807,,,1
78075,399.62,279.73,119.89
78099,BR,BR,BR
78102,176.40,132.30,44.10
78103,263.25,197.44,65.81
78104,323.64,242.73,80.91
78110,75.30,56.47,18.83
78111,177.09,132.82,44.27
78120,127.56,95.67,31.89
78121,206.25,154.69,51.56
78122,321.60,241.20,80.40
78130,231.36,173.52,57.84
78135,356.19,267.14,89.05
78140,296.49,222.37,74.12
78185,181.14,135.85,45.29
78190,449.15,336.86,112.29
78191,502.07,376.55,125.52
78195,313.46,235.09,78.37
78199,BR,BR,BR
78201,184.55,138.41,46.14
78202,223.22,167.41,55.81
78205,426.08,319.56,106.52
78206,470.64,388.62,82.02
78215,223.89,167.92,55.97
78216,265.29,198.97,66.32
,,,
,,,
78230,175.05,131.29,43.76
78231,241.53,181.15,60.38
78232,259.17,194.38,64.79
78258,245.61,184.21,61.40
78261,314.82,236.11,78.71
78262,322.28,241.71,80.57
78264,324.30,243.22,81.08
78267,BR,BR,BR
78268,BR,BR,BR
78270,113.31,84.98,28.33
78271,119.40,89.55,29.85
78272,166.91,125.18,41.73
78278,389.45,292.09,97.36
