CPTCode,Total,OFF,FAC,TC27,PC26,FUD
32665,2307.80, , , , ,15
32666 , , ,"$1,719.44 ", , ,90
32667 , , ,$310.61, , ,0
32668 , , ,$312.23, , ,0
32669 , , ,"$2,650.75", , ,90
32670 , , ,"$3,164.74", , ,90
32671 , , ,"$3,511.02", , ,90
32672, , ," $3,003.23", , ,90
32673 , , ,"$2,374.11 ", , ,90
32674, , ,$426.01, , ,90
32701, , , , , ,0
32800,1617.90, , , , ,45
32810,1433.45, , , , ,45
32815,2895.33, , , , ,45
32820,3071.67, , , , ,45
32850,BR, , , , ,90
32851,4823.63, , , , ,90
32852,5231.58, , , , ,90
32853,6030.36, , , , ,90
32854,6438.30, , , , ,90
32855,BR, , , , ,0
32856,BR, , , , ,0
32900,2110.35, , , , ,90
32905,2536.97, , , , ,90
32906,3220.36, , , , ,90
32940,2328.13, , , , ,90
32960,191.11, , , , ,0
32997,619.61, , , , ,0
32998, ,"$5,357.32",$544.05, , ,0
32999,BR, , , , ,0
33010,258.86, , , , ,0
33011,230.33, , , , ,0
33015,780.10, , , , ,15
33020,1937.27, , , , ,90
33025,1978.69, , , , ,90
33030,2993.65, , , , ,90
33031,2610.10, , , , ,90
33050,1733.28, , , , ,90
33120,4085.80, , , , ,90
33130,2610.91, , , , ,90
33140,2475.65, , , , ,90
33141,539.74, , , , ,0
33202,"$1,455.37", , , , ,90
33203,"$1,498.55", , , , ,90
33206,1092.15, , , , ,45
33207,1283.92, , , , ,45
33208,1164.48, , , , ,45
33210,449.97, , , , ,15
33211,457.09, , , , ,15
33212,837.80, , , , ,15
33213,800.08, , , , ,15
33214,894.93, , , , ,15
33215,588.36, , , , ,90
33216,692.41, , , , ,15
33217,717.37, , , , ,15
33218,755.73, , , , ,15
33220,668.88, , , , ,15
33221, , ,$692.49, , ,90
33222,816.67, , , , ,15
33223,938.56, , , , ,15
33224,958.00, , , , ,0
33225,848.68, , , , ,0
33226,922.37, , , , ,0
33227 , , ,$660.72 , , ,90
33228 , , ,$689.09 , , ,90
33229 , , ,$717.44 , , ,90
33230 , , ,$745.21 , , ,90
33231, , ,$773.55, , ,90
33233,377.93, , , , ,15
33234,1048.27, , , , ,15
33235,1041.10, , , , ,15
33236,1237.61, , , , ,45
33237,1747.11, , , , ,45
33238,1942.95, , , , ,45
33240,994.63, , , , ,15
33241, , , $441.44, , ,90
33243,2410.20, , , , ,45
33244,1374.93, , , , ,45
33249,2359.81, , , , ,45
33250,2423.20, , , , ,45
33251,3098.47, , , , ,90
33254,"$2,536.09", , , , ,90
33255,"$3,056.38", , , , ,90
33256,"$3,647.04", , , , ,90
33257, , ,"$1,105.58", , , 
33258, , ,"$1,248.09", , , 
33259, , ,"$1,629.93", , , 
33261,2901.02, , , , ,90
33262 , , ,$718.20 , , ,90
33263 , , ,$746.54 , , ,90
33264, , ,$774.91, , ,0
33265,"$2,536.09", , , , ,90
33266,"$3,468.26", , , , ,90
33270, ,"$1,190.68", , , ,90
33271,,"$1,001.22","$1,001.22", , ,90
33272,,$736.37,$736.37, , ,90
33273,,$811.68,$811.68, , ,90
33282,742.40, , , , ,90
33284,575.79, , , , ,90
33300,2424.00, , , , ,90
33305,2902.64, , , , ,90
33310,2246.86, , , , ,90
33315,2744.19, , , , ,90
33320,2341.13, , , , ,90
33321,3204.93, , , , ,90
33322,3178.11, , , , ,90
33330,2510.15, , , , ,90
33335,3373.13, , , , ,90
 , , , , , , 
 , , , , , , 
 , , , , , , 
 , , , , , , 
 , , , , , , 
 , , , , , , 
 , , , , , , 
 , , , , , , 
 , , , , , , 
33400,3857.45, , , , ,90
33401,3801.38, , , , ,90
33403,3878.59, , , , ,90
33404,4593.68, , , , ,90
33405,4674.12, , , , ,90
33406,5565.56, , , , ,90
33410,4154.36, , , , ,90
33411,5498.10, , , , ,90
33412,5646.81, , , , ,90
33413,5970.23, , , , ,90
33414,5411.97, , , , ,90
33415,4401.89, , , , ,90
33416,4468.53, , , , ,90
33417,4925.21, , , , ,90
33418,,"$3,780.86","$3,780.86", , ,90
33419,,$889.49,$889.49, , ,90
33420,3177.30, , , , ,90
33422,4327.13, , , , ,90
33425,4506.72, , , , ,90
33426,4609.93, , , , ,90
33427,5302.28, , , , ,90
33430,5097.49, , , , ,90
33460,3786.75, , , , ,90
33463,4516.47, , , , ,90
33464,4651.38, , , , ,90
33465,4706.63, , , , ,90
33468,4997.54, , , , ,90
33470,3085.47, , , , ,90
33471,3697.37, , , , ,90
33474,4006.97, , , , ,90
33475,4933.35, , , , ,90
33476,4169.50, , , , ,90
33478,4491.29, , , , ,90
33496,4108.22, , , , ,90
33500,4241.00, , , , ,90
33501,2400.44, , , , ,90
33502,2688.92, , , , ,90
33503,3945.21, , , , ,90
33504,4182.50, , , , ,90
33505,4731.82, , , , ,90
33506,4731.82, , , , ,90
33507,3526.97, , , , ,90
33508,31.91, , , , ,0
33510,4192.24, , , , ,90
33511,4602.62, , , , ,90
33512,5012.17, , , , ,90
33513,5421.71, , , , ,90
33514,5830.46, , , , ,90
33516,6239.20, , , , ,90
33517,408.75, , , , ,0
33518,819.12, , , , ,0
33519,1227.04, , , , ,0
33521,1637.41, , , , ,0
33522,2046.96, , , , ,0
33523,2457.33, , , , ,0
33530,1189.65, , , , ,0
33533,4320.64, , , , ,90
33534,4858.59, , , , ,90
33535,5396.54, , , , ,90
33536,5933.67, , , , ,90
33542,4548.97, , , , ,90
33545,5466.42, , , , ,90
33548,4629.36, , , , ,90
33572,610.28, , , , ,0
33600,5009.73, , , , ,90
33602,4584.74, , , , ,90
33606,5411.97, , , , ,90
33608,5470.47, , , , ,90
33610,5411.97, , , , ,90
33611,5565.56, , , , ,90
33612,5630.56, , , , ,90
33615,5507.86, , , , ,90
33617,5642.75, , , , ,90
33619,6331.04, , , , ,90
33620, , ,"$3,348.67", , ,90
33621, , ,"$1,803.76", , ,90
33622, , ,"$7,070.44", , ,90
33641,3617.73, , , , ,90
33645,3998.03, , , , ,90
33647,4952.03, , , , ,90
33660,4414.91, , , , ,90
33665,4646.49, , , , ,90
33670,5565.56, , , , ,90
33675,"$4,044.62", , , , ,90
33676,"$4,164.19", , , , ,90
33677,"$4,328.16", , , , ,90
33681,4867.53, , , , ,90
33684,5021.11, , , , ,90
33688,5097.49, , , , ,90
33690,3218.75, , , , ,90
33692,5411.97, , , , ,90
33694,5489.16, , , , ,90
33697,5642.75, , , , ,90
33702,4430.34, , , , ,90
33710,5024.36, , , , ,90
33720,4430.34, , , , ,90
33722,4584.74, , , , ,90
33724,"$2,891.37", , , , ,90
33726,"$3,816.71", , , , ,90
33730,5459.91, , , , ,90
33732,4626.18, , , , ,90
33735,3634.79, , , , ,90
33736,3829.83, , , , ,90
33737,3676.23, , , , ,90
33750,3364.21, , , , ,90
33755,3391.83, , , , ,90
33762,3391.83, , , , ,90
33764,3391.83, , , , ,90
33766,3468.22, , , , ,90
33767,3907.02, , , , ,90
