CPTCode,Total,OFF,FAC,TC27,PC26
82075,$24.93, , , , 
82085,$25.47, , , , 
82088,$68.67, , , , 
82103,$34.34, , , , 
82104,$47.07, , , , 
82105,$40.43, , , , 
82106,$40.43, , , , 
82107,BR, , ,BR,BR
82108,$51.50, , , , 
82120,BR, , ,BR,BR
82127,BR, , ,BR,BR
82128,$24.93, , , , 
82131,$153.97, , , , 
82135,$37.66, , , , 
82136,BR, , ,BR,BR
82139,BR, , ,BR,BR
82140,$25.47, , , , 
82143,$27.70, , , , 
82150,$13.84, , , , 
82154,$55.94, , , , 
82157,$51.50, , , , 
82160,$55.94, , , , 
82163,$51.50, , , , 
82164,$42.64, , , , 
82172,$28.24, , , , 
82175,$47.07, , , , 
82180,$28.24, , , , 
82190,$51.50, , , , 
82232,$47.07, , , , 
82239,$27.70, , , , 
82240,$60.93, , , , 
82247,BR, , ,BR,BR
82248,BR, , ,BR,BR
82252,$7.76, , , , 
82261,BR, , ,BR,BR
82270,$8.30, , ,$8.30,$0.00
82271,BR, , ,BR,BR
82272,BR, , ,BR,BR
82274,BR, , ,BR,BR
82286,$51.50, , , , 
82300,$51.50, , , , 
82306,$64.24, , , , 
82308,$65.90, , , , 
82310,$12.19, , , , 
82330,$31.57, , , , 
82331,$34.34, , , , 
82340,$12.19, , , , 
82355,$26.59, , , , 
82360,$32.67, , , , 
82365,$32.67, , , , 
82370,$32.67, , , , 
82373,BR, , ,BR,BR
82374,$11.07, , , , 
82375,$29.36, , , , 
82376,$10.53, , , , 
82378,$44.30, , , , 
82379,BR, , ,BR,BR
82380,$25.47, , , , 
82382,$44.30, , , , 
82383,$64.24, , , , 
82384,$64.24, , , , 
82387,$51.50, , , , 
82390,$27.70, , , , 
82397,$38.77, , , , 
82415,$42.64, , , , 
82435,$11.07, , , , 
82436,$12.19, , , , 
82438,$12.19, , , , 
82441,$31.01, , , , 
82465,$11.63, , , , 
82480,$20.50, , , , 
82482,$31.01, , , , 
82485,$51.50, , , , 
82486,$48.19, , , , 
82487,$37.66, , , , 
82488,$59.82, , , , 
82489,$37.66, , , , 
82491,$42.64, , , , 
82492,BR, , ,BR,BR
82495,$51.50, , , , 
82507,$64.24, , , , 
82523,BR, , ,BR,BR
82525,$34.34, , , , 
82528,$51.50, , , , 
82530,$47.07, , , , 
82533,$40.43, , , , 
82540,$12.19, , , , 
82541,BR, , ,BR,BR
82542,$39.86, , , , 
82543,BR, , ,BR,BR
82544,BR, , ,BR,BR
82550,$12.74, , , , 
82552,$34.34, , , , 
82553,$16.06, , , , 
82554,$29.90, , , , 
82565,$11.07, , , , 
82570,$12.19, , , , 
82575,$23.26, , , , 
82585,$29.36, , , , 
82595,$15.50, , , , 
82600,$34.34, , , , 
82607,$34.34, , , , 
82608,$39.33, , , , 
82610,BR, , ,BR,BR
82615,$25.47, , , , 
82626,$59.82, , , , 
82627,$51.50, , , , 
82633,$68.67, , , , 
82634,$59.82, , , , 
82638,$23.81, , , , 
82652,$68.67, , , , 
82656,BR, , ,BR,BR
82657,BR, , ,BR,BR
82658,BR, , ,BR,BR
82664,$31.57, , , , 
82668,$55.94, , , , 
82670,$40.43, , , , 
82671,$72.00, , , , 
82672,$51.50, , , , 
82677,$37.10, , , , 
82679,$55.94, , , , 
82693,$31.01, , , , 
82696,$59.82, , , , 
82705,$12.74, , , , 
82710,$48.19, , , , 
82715,$20.50, , , , 
82725,$20.50, , , , 
82726,BR, , ,BR,BR
82728,$31.57, , , , 
82731,BR, , ,BR,BR
82735,$45.97, , , , 
82746,$34.90, , , , 
82747,$42.10, , , , 
82757,$22.16, , , , 
82759,$27.70, , , , 
82760,$28.24, , , , 
82775,$36.00, , , , 
82776,$11.63, , , , 
82784,$29.36, , , , 
82785,$37.10, , , , 
82787,$91.94, , , , 
82800,$25.47, , , , 
82803,$46.53, , , , 
82805,$54.83, , , , 
82810,$25.47, , , , 
82820,$29.90, , , , 
8293,BR, , ,BR,BR
82938,$42.10, , , , 
82941,$42.10, , , , 
82943,$50.40, , , , 
82945,BR, , ,BR,BR
82946,$28.24, , , , 
82947,$11.07, , , , 
82948,$8.30, , , , 
82950,$14.40, , , , 
82951,$31.57, , , , 
82952,$8.30, , , , 
82955,$32.67, , , , 
82960,$17.17, , , , 
82962,$8.30, , , , 
82963,$42.64, , , , 
82965,$12.19, , , , 
82977,$12.74, , , , 
82978,$29.90, , , , 
82979,$21.60, , , , 
82985,$20.50, , , , 
83001,$42.64, , , , 
83002,$42.64, , , , 
83003,$42.64, , , , 
83006,BR, , , , 
83009,BR, , ,BR,BR
83010,$31.57, , , , 
83012,$48.74, , , , 
83013,BR, , ,BR,BR
83014,BR, , ,BR,BR
83015,$59.82, , , , 
83018,$59.82, , , , 
83020,$32.13, , ,$22.49,$9.64
83021,BR, , ,BR,BR
83026,$7.76, , , , 
83030,$22.16, , , , 
83033,$12.74, , , , 
83036,$24.93, , , , 
83037,BR, , ,BR,BR
83045,$8.30, , , , 
83050,$12.19, , , , 
83051,$11.07, , , , 
83060,$23.81, , , , 
83065,$6.64, , , , 
83068,$9.41, , , , 
83069,$6.64, , , , 
83070,$10.53, , , , 
83080,BR, , ,BR,BR
83088,$65.90, , , , 
83090,BR, , ,BR,BR
83150,$42.64, , , , 
83491,$50.40, , , , 
83497,$40.43, , , , 
83498,$58.16, , , , 
83499,$45.97, , , , 
83500,$42.64, , , , 
83505,$55.94, , , , 
83516,$27.70, , , , 
83518,$17.17, , , , 
83519,$36.00, , , , 
